userid,movieid
30667,2502 1222 1732 1968 1208 1259 3949 2542 778 6874 3481 4027 1961 7438 1090 48516 4995 3421 4973 1517
30670,4014 1288 750 596 2502 2064 1267 1077 2763 913 1219 5225 6385 8665 1095 2078 661 4361 1584 48780
30780,912 2692 6874 7438 1080 4011 32587 6711 1246 923 1961 1225 1090 2542 46578 2700 3160 1968 7153 2324
24043,1997 6377 8665 1953 1293 1299 2109 2302 2064 30749 3256 1682 1207 3105 529 1233 1500 3911 2313 54286
15767,7153 4011 2542 7361 5349 3253 48516 1968 3897 6377 1258 8636 4027 1222 6333 49272 4995 2115 1060 2395
30984,33794 32587 4973 2329 8636 8360 5418 46578 51662 33493 6333 2502 8368 4011 4963 45722 48774 8665 5349 8874
31031,750 923 6711 55820 33166 56367 30707 7438 2987 58559 50872 6874 4878 1225 745 3114 1203 1148 509 8784
31077,1961 2115 2706 1682 4995 1917 3147 3408 7153 1246 2000 4973 1573 6377 508 6539 3948 1610 6711 1222
31096,6377 32587 8360 6365 4878 33493 2329 1148 4011 6934 8665 5218 5378 7143 7147 4973 45722 49272 8644 1258
31126,1258 1653 1219 2455 1584 2916 1994 2167 1199 1345 353 1321 3175 1387 2529 1350 1921 2105 3499 4720
31135,44195 8949 8784 1080 39183 1208 1219 4975 36517 4776 27773 55765 1625 8961 6942 4308 56174 8981 39292 1673
31157,7153 4973 6377 6539 1148 4886 745 5618 8368 3081 3114 8360 3751 7361 33794 5816 2692 8636 4896 6333
31208,3147 7153 1259 3408 4022 6539 1101 1784 5349 1968 2918 2355 1080 2115 3751 2011 2324 4896 2291 8360
28102,3481 1233 1610 163 1573 1954 2580 3176 3317 1060 7361 353 1343 1639 4239 2947 1120 3994 2599 2985
27611,1288 1732 923 1228 1673 1247 1394 7361 246 1077 4979 2692 3160 1952 3481 3897 1199 903 562 908
31384,1610 2502 3977 7143 1682 5218 1387 2987 3717 6934 2797 8644 4019 4447 1968 6874 4025 4308 2012 474
31385,1206 2329 3081 1997 7361 1080 1961 7438 1246 3176 2700 2706 1222 7153 6016 4011 6711 5669 1208 1732
28485,4979 6016 2324 1035 8949 6942 6377 6870 4720 2712 1219 1569 1028 1088 8464 30707 8970 5445 1307 3948
31469,778 4878 4963 6711 3147 6333 5418 4027 1653 4034 1732 8636 1225 750 2324 6807 2012 4720 1584 5995
31498,6377 4886 8961 4022 4034 1573 4896 33794 3147 32587 1101 3977 5816 4027 1961 4979 5991 8368 33166 4011
19260,2012 4896 1148 2011 1080 1287 1375 745 8961 3255 1954 8368 2087 1022 2407 1233 552 1387 17 1223
31545,46578 1206 6711 48394 2692 778 32587 44191 49272 2324 5995 2329 44195 8784 58559 7438 48385 33794 30707 6874
31579,4973 1206 1258 778 6711 6016 1080 1682 4034 2115 33794 4886 2692 5418 1090 1201 5618 1246 5995 2700
31667,4027 7153 3897 3481 4011 5902 1247 4963 1148 1035 7147 2324 2329 3751 1246 1653 1252 4896 913 1222
31677,1387 8961 2797 1259 5816 2115 8636 5989 6942 2248 1080 1234 2081 1304 1035 2321 2640 2194 708 2617
31691,1258 1387 1394 2291 2000 2194 300 2329 3147 1673 2987 1288 5902 4027 2302 33794 1376 1220 2529 1663
31736,4034 1917 1676 2115 2012 1517 6934 5010 49272 8360 3160 51662 16 1909 1101 48774 1215 5679 54286 442
31739,2502 2916 33493 45722 3949 44199 778 45499 3527 1517 353 34162 33679 34048 2012 1127 2692 163 2291 1391
31748,912 1968 2700 2791 4848 908 1219 5995 6539 903 4011 1921 8622 8464 2706 2712 2542 33166 104 235
22110,4973 2291 1080 32587 1387 1208 551 1333 6711 5618 2174 1222 6377 6502 4848 7147 1982 1347 4011 2692
31912,1961 1090 778 1222 1233 1682 1201 1394 1250 1784 1230 1278 1263 6874 4886 1094 7438 2692 1387 5618
31946,1206 4878 3949 7361 750 6016 4848 6333 3081 1748 1274 2115 1884 1729 1997 4034 33794 3994 3160 2987
16710,265 306 58 348 515 232 17 509 308 272 194 246 52 162 345 247 342 497 800 1374
31994,3967 1408 5015 5669 4308 350 1552 1968 1247 1183 953 2916 6942 30812 5266 6218 1997 1641 8622 1035
32063,1080 1356 2019 1961 908 1252 3114 2692 2916 2700 3175 1250 745 2011 1376 2012 1127 778 1258 1219
32096,6377 4886 8360 5989 8665 3114 1374 1682 1101 5816 2329 1127 1376 1246 3527 2355 7143 104 45722 2194
16648,1784 3114 2355 11 4886 2321 1641 5377 4896 1777 6711 1207 497 1271 3967 4447 5816 3147 1610 1282
32127,6874 7438 44191 1206 3949 33166 51662 6711 48385 2542 8961 2502 51255 5418 4963 8784 30707 44665 8874 54503
32204,1222 2542 555 1201 1090 1732 16 1266 353 70 2278 6502 2951 6016 1729 48516 2947 8874 1997 1261
30445,1127 3948 2797 5816 3147 1784 3527 44191 7143 1307 8368 2001 104 40815 5218 2273 35836 1909 51662 440
14285,3949 5995 1625 1204 1267 1954 2395 8949 1288 3504 3730 1092 3499 1272 3363 2288 5673 6620 2917 2966
32637,1407 1199 1244 348 1079 785 2324 1676 3006 838 104 3108 3751 1077 1466 2318 5945 2167 497 125
32650,2329 33166 3911 1673 3556 2599 1653 4014 3408 30749 2908 30812 48774 2291 6218 40819 8873 36517 7160 4262
32788,904 1258 903 1997 1230 910 2329 930 2186 1086 1103 965 1233 1231 1246 2313 3468 1242 933 2987
32852,1208 908 904 1080 903 910 1287 1267 3471 1228 1288 3363 1292 1028 3421 1307 1242 2329 1094 1747
32910,4878 4011 48516 8636 8360 1222 6333 2692 8665 1208 46578 8368 48780 4027 8874 8784 54286 5669 58559 778
32960,1148 1641 1584 7153 745 1079 778 2012 1225 2174 3052 1391 4027 750 2115 1356 1223 497 6539 1732
33042,1206 36 4034 4886 1080 1246 778 337 2640 509 3114 3147 6377 3160 2395 1376 3448 4246 2115 1288
33083,3147 3481 2329 3052 1500 1584 1961 1639 3408 4886 2324 5418 4979 440 4011 7153 1917 778 2542 3176
10006,2278 7254 4262 48780 555 778 1653 4878 8957 8360 5679 1220 5219 553 6754 4886 48394 5630 4720 3949
33220,912 908 904 923 750 1252 1234 1304 1207 1219 1250 1247 910 953 1204 1267 920 898 899 1262
8494,7153 4878 7438 4011 7361 1732 750 1208 4027 6807 4886 3000 1682 5445 1199 6016 2291 6377 2700 8961
33338,1356 1206 1374 3175 1909 1682 1376 1320 3471 1372 2291 3081 2105 1274 1625 1396 1544 2640 1610 2455
33346,497 1380 1234 802 2302 1517 8368 1304 337 509 4361 805 1219 1032 1188 1259 1247 1680 1080 2572
22063,1584 1356 1199 2021 1396 750 5349 2105 2393 1909 1391 5378 2640 4878 2918 6333 2140 3527 6365 3052
33381,1370 2353 2617 2273 1552 2001 2985 163 2058 4963 1608 1610 44191 1917 6378 145 51662 2002 3753 3300
33475,2918 1682 5349 2355 5445 104 2987 5989 3481 2700 1307 7361 5418 2804 3751 2324 2599 1080 1259 8636
33509,778 1252 2291 1625 3911 46578 1259 4262 474 6863 62 5991 1183 2115 4308 1242 2916 2391 6942 1234
33511,3176 3147 4720 1127 32587 5995 2174 5618 551 5679 4975 1090 912 1909 368 1183 4896 1466 1266 4085
33599,1219 1258 923 8949 1333 2076 37741 1246 40819 8464 5291 4027 5013 3083 1244 2890 48385 2710 5956 7438
33655,6874 6377 5445 8961 5418 5989 3147 48516 2502 4973 4011 8665 49272 4022 1961 7147 46578 1917 2291 3052
33738,1653 1909 1374 2021 34405 6377 8368 8360 45722 1320 5816 1206 7143 2291 48780 1376 5903 2455 48516 40815
33825,1219 1208 1247 1204 1225 1207 2692 6016 1250 5618 1267 922 48516 1230 6711 46578 48394 4878 1201 910
17765,6377 6539 1682 33794 6874 1961 2115 7361 2700 49272 48516 3948 44191 4896 2617 1220 6711 2918 1784 6333
33832,1394 1090 1784 2804 4886 2791 1266 5445 1247 6539 1207 7153 1387 4022 2324 3552 300 2915 3948 1101
28872,7438 7153 1222 4011 2291 923 1258 4235 3000 7147 6807 3052 8622 1246 4308 6539 5225 1673 7090 4963
33851,46578 6377 8961 48774 8970 8784 5218 44195 48385 30749 5377 6870 34048 46976 8949 47610 41569 4886 30793 50872
33889,6539 5218 8360 2706 1485 788 2012 8961 3175 1682 2011 653 1552 2273 8644 1080 4022 551 3408 104
33923,1247 1288 1233 2791 1094 1259 3114 1299 1784 1250 1231 1090 908 1263 2355 1228 2987 1276 2352 904
33965,7361 6711 3435 3160 4011 1203 1225 1259 3703 5669 555 3362 3462 1086 2366 1217 7090 1269 898 1178
12209,3147 1961 4963 6539 1954 474 1552 44191 2268 1220 4011 3408 1722 3114 45722 6378 2947 3948 778 2006
26721,33794 7153 6539 44191 32587 5349 8636 33493 8644 6874 8665 5445 4963 51662 8961 8360 48516 45722 7438 5378
34048,5378 3527 1552 3147 4995 32587 4011 2985 4886 1101 7438 8360 4896 2640 5010 2278 3948 5816 1391 5218
16788,2105 6377 1234 1278 8360 33794 7143 3114 1274 4011 1252 1321 4262 2542 2355 5618 5254 923 5872 5679
34243,8368 4963 5816 4896 5445 40815 6874 32587 4995 7438 7361 48516 7147 4022 35836 34162 33679 1485 33166 58559
30541,1250 1090 1208 3897 1276 923 1203 5299 3006 750 33794 1183 2804 4246 6874 7438 3481 1299 529 11
34365,48780 48774 7361 8665 33166 51255 8360 44195 2329 46976 44665 34405 44199 30707 41566 4995 41569 4963 52973 40819
34440,1517 5445 5418 2329 750 8665 1206 1148 1258 58559 1278 56367 5669 1968 3147 55820 2291 1500 4022 2797
34459,1206 2329 4011 2542 1732 6711 6377 6016 5445 1208 2692 5669 1199 6333 6502 2174 750 4886 1201 1748
34518,5418 32587 8961 6874 7438 2329 6377 54286 51662 6333 5989 4886 3147 7361 45722 7143 6365 46578 48394 48774
34548,8636 44191 8961 6333 6874 8665 49272 5445 6365 6377 7438 51662 48780 8360 58559 45722 5989 4886 8644 4011
14637,778 2115 6502 7361 1732 1208 6016 5349 1994 1201 1645 1320 2011 6377 3000 5669 7090 16 1333 1220
32706,2502 1206 1258 32587 2700 778 3052 4886 1584 3147 2174 4963 2011 7147 6711 8636 2 48516 3897 3081
34729,1208 1258 509 4027 1199 6539 5618 4979 2329 4995 5445 1641 1252 1148 4886 3481 32587 2019 1201 2012
34758,2706 2987 2700 1682 3897 3147 778 2395 1246 750 1784 1219 2791 7361 4878 4034 1387 1997 2692 4027
34844,8360 49272 6874 48516 7438 4995 3114 1517 2502 7143 4022 1917 7361 46578 5218 41566 48394 48774 7254 2115
34892,1259 594 2011 1250 5445 350 2005 1343 1293 1339 1321 3360 1394 2947 368 1358 3114 1029 2288 33794
34938,6711 32587 33166 1222 44191 4011 49272 778 3160 7438 48385 8949 33794 54286 4979 3897 2395 1208 5669 46976
34956,2542 4878 6333 33794 4262 1732 3994 3052 3275 1625 8636 8644 70 48516 4720 4995 16 2115 4370 3535
34965,49272 44191 48516 32587 48780 45722 59315 48774 48394 33493 56367 51255 45499 8644 48385 8961 44665 46578 6539 40815
35093,2692 2542 6377 2324 4027 4034 1090 750 1997 1148 4963 8360 16 2502 1201 3052 3481 8622 33166 1784
35122,1961 2502 2011 2291 2012 1080 46578 2542 48780 3052 3114 1573 16 1968 8798 8784 44195 2617 8622 2797
35157,903 1219 750 32587 1208 778 1222 33794 2019 1212 30749 2712 5669 4034 2186 7153 930 1228 1203 58559
35158,2918 1968 2502 104 2423 216 2134 2144 333 3552 2804 3033 2005 1777 1663 441 3253 2706 2371 2694
35165,778 912 1219 1228 1090 1252 1263 4973 1225 306 3949 7361 1204 903 307 1233 1250 904 2712 1199
35168,750 3114 1258 2599 2918 5989 1225 1207 7153 1234 3160 1252 1206 2804 6870 3176 3006 2329 1230 1246
32635,5445 6333 3408 2987 2291 1485 3481 2706 5618 2791 1777 33794 5991 1500 720 4022 2302 3052 551 6863
35171,4973 6874 6711 3949 7153 7438 5445 4034 49272 3147 5418 4963 5669 48394 48774 5995 7147 30707 508 6377
35221,2329 1219 4011 33493 2174 7361 778 1206 58559 2542 2288 2291 7254 1994 555 54286 1732 8644 51255 1345
35225,2329 4878 7153 49272 3949 1206 6016 48780 2542 48774 8961 54286 44195 6711 5418 33166 2692 778 6539 59315
35236,8961 7153 5060 1234 6539 1356 2692 2324 1285 471 2657 904 235 2700 4361 5377 910 1235 1372 1784
35425,32587 1206 44191 1258 3949 4011 49272 48780 51662 8874 48394 5418 33166 58559 33493 8636 55820 6539 4963 1682
28985,6874 7438 913 6711 6016 1247 5669 7147 1090 7090 1263 5445 4027 8636 920 1304 969 1682 5989 1272
35551,1080 1304 908 2599 2248 471 232 2020 1252 1207 1179 2791 2064 1380 2321 2324 300 6377 1267 45
35647,5669 6016 3911 8464 2019 904 2502 8622 1356 30707 39183 39292 1653 5673 4848 6807 4308 3949 5418 8665
35800,4878 8961 4886 778 6016 2692 5418 1208 5989 48516 2542 1682 1080 8636 49272 750 2987 46578 3897 1732
35521,104 16 1080 4034 778 2987 1079 4027 4979 1682 3039 2302 1485 1784 1374 4085 441 785 180 6188
35855,7153 32587 44191 6874 7438 48394 33166 51662 3114 1968 8665 4034 5349 3897 1307 1206 1101 45722 30749 3176
24849,750 7361 4878 2692 908 4848 1288 16 1199 2324 1610 3052 4262 3471 1201 509 1921 6870 6377 474
9166,2174 1653 5418 2657 2470 5060 1148 1954 1909 2105 3702 2193 2700 1339 1358 2140 5218 2161 1230 543
35944,6874 32587 49272 7438 5418 4995 8665 33493 35836 40815 48774 51662 34162 6333 4022 8874 30707 51255 6365 40819
35953,6333 33794 5418 6365 6863 2080 1029 2085 2018 7143 1035 6934 32587 2797 1387 2115 661 1407 3147 6711
36012,6539 778 1517 48516 2542 2291 44191 1917 4034 2355 33166 1370 2353 1206 1258 3949 1608 33493 1101 2268
36055,33794 4011 48780 54286 4878 48394 5418 48774 46578 2542 8665 4963 48385 56367 59315 44195 3275 33493 8874 2502
36077,1961 3753 3897 3994 1391 5989 6539 1246 1732 2321 596 4027 2572 368 1028 1673 16 442 1676 5679
758,"I n t 6 4 I n d e x ( [ 4 8 8 6 ,   2 2 4 8 ,   1 1 8 8 ,   2 3 5 5 ,     7 2 0 ,   1 9 6 1 ,   1 2 9 6 ,   2 2 4 3 ,   2 6 8 6 ,     3 1 8 ,   1 2 4 2 , 
                         8 9 7 0 ,   3 0 7 2 ,     4 9 7 ,   1 6 3 9 ,   3 4 2 4 ,     9 0 8 ,   1 0 3 5 ,   4 2 4 6 ,   1 2 9 3 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
36175,3114 8636 5445 1584 6333 2355 1080 2692 6218 1225 2918 8784 2324 5299 2012 1127 5377 497 2011 1278
36203,6874 778 6539 6377 1732 1079 33794 32587 1206 750 1258 5445 3052 3897 3114 4995 3949 1961 1682 1307
36224,1732 4973 1682 4995 1220 6377 2000 1206 4262 16 1573 3623 2916 4034 33493 555 2692 1954 7143 353
36277,48516 3147 49272 7361 4963 46578 48774 48394 5989 5349 2268 1682 8798 6333 45722 4022 1101 1584 6365 1090
9646,7153 6377 6874 4886 8961 33794 4963 2329 1682 1080 3147 7361 4995 778 6333 4878 33493 48516 5218 1206
36294,2502 2542 44191 54286 4262 6874 7438 51662 1259 48774 4878 48394 7361 56367 3421 3949 48385 51255 59315 3275
36348,4022 3147 5418 7153 5989 2115 3753 2355 4896 5378 3994 2353 8665 2011 2012 6333 3176 1307 3897 1517
36357,1222 5445 1610 1246 1219 8784 904 1968 4886 33493 2291 5669 16 3114 908 2987 7147 8949 62 1517
36358,7153 6377 6539 2324 7438 4886 1246 4995 7147 904 8784 3897 5989 4027 5902 2174 1225 1219 1732 4979
36396,4896 30707 2324 5816 2706 8368 953 8784 56367 40815 58559 6870 1408 4019 5377 1907 1370 59315 3755 2000
21866,3949 3147 7254 3623 2291 44195 1961 30707 59315 2987 1391 1729 163 49530 44199 2355 3481 45499 4848 34405
36533,44191 32587 48780 51662 58559 48774 48394 45722 55820 46578 8961 48385 33493 44195 45499 47610 8636 8644 46976 53996
36285,2542 51662 46578 7153 1258 44195 8874 4963 36529 59315 2502 5445 38061 35836 54503 1884 1080 4995 5669 3052
24167,5445 5989 1682 6934 7143 1961 33493 6373 4896 44191 48516 5679 5502 5816 1220 1387 2916 3949 45722 4878
36781,7153 7361 778 32587 6016 4995 2542 4886 2692 5445 1201 1682 8360 5989 2291 4034 5995 8784 4979 4848
25689,1080 5349 8961 1517 5445 4886 32587 4973 1148 6365 4963 33794 4878 8636 8360 5618 2542 6807 2115 33493
36935,4963 35836 2640 4022 5218 3175 2470 4995 33166 48385 44195 8798 11 2353 2005 2407 3448 7147 55820 54503
36960,104 2174 1307 2005 2706 3948 1569 6863 8360 6373 2134 2124 34162 1917 6188 2145 3489 8528 2581 708
34213,1247 1952 1250 1272 1095 2160 2706 2108 2657 2795 910 2324 3703 553 2333 968 1199 2366 3060 1186
37181,7438 4011 1208 2329 2542 750 1199 7361 2985 4262 1732 3000 1676 48516 3081 8874 3702 1127 4848 1997
37194,7153 8636 5349 8368 5816 5445 5418 4896 6333 33794 7361 8665 6874 40815 4973 33493 5299 3114 7438 6365
12675,1208 5995 5669 6016 1307 1222 4027 6874 1673 1263 7438 2710 1120 5679 1339 2706 902 3317 39183 265
21759,7153 1358 508 1266 1231 6539 8636 1307 1262 3114 8949 1247 44191 1204 5445 30812 1299 1101 474 48774
37409,6365 2987 4995 2353 2012 6934 2011 3948 2194 1080 3753 2006 48516 1258 163 2273 51662 1079 4085 2763
37506,8961 7361 48516 1206 5418 4973 1080 3147 58559 2542 8665 54286 34405 3052 4995 8644 5989 4027 6711 44195
37516,1610 6874 6377 4886 7438 5349 1961 2353 2194 8665 4973 1101 2329 8360 6333 44191 8636 2006 5989 1307
37527,6539 4886 6377 4963 2011 4973 2916 5418 1080 8961 5218 4995 3994 2700 750 2987 4027 4370 5989 3081
21408,4886 3527 2985 7438 2640 1653 2273 32587 368 2987 2502 1377 1961 6378 2193 1876 3623 3994 4995 1127
5973,1961 36 2289 908 1394 2336 509 1188 1207 1968 1244 1234 497 2355 1233 7153 2268 2248 4995 3897
28880,778 5995 5669 17 2692 8949 337 3160 3006 1961 30707 1732 923 2291 1653 30749 1247 265 8784 1729
29329,1208 750 912 1961 1258 6874 7438 1246 4878 6711 33794 55820 2712 48774 48780 8961 30749 56367 58559 2710
37744,4963 8961 4886 48516 3949 2542 1961 4034 2291 6333 8665 6016 4027 49272 33493 2700 1258 2916 1968 48780
23207,1610 1127 2916 1961 2115 2194 1584 1090 7153 1079 474 1101 1356 2987 3703 4085 1396 1201 1954 1653
37801,2671 2406 6942 1777 2321 8360 337 3967 62 509 2174 2144 4034 8970 2194 1234 7153 832 5945 2407
37835,7153 1653 44191 2329 1206 5445 1748 4011 48516 6333 5418 49272 51662 6539 1356 48780 8636 4963 1682 8874
37866,2987 4878 59315 1148 4995 2761 1968 2167 2291 5903 2140 745 3751 30793 2006 44665 46578 55820 5459 1356
37874,4896 5816 1234 8368 1304 2761 1641 7373 1784 5060 969 3703 5464 3702 912 6942 3948 2321 1287 58559
37907,32587 51255 55820 54272 6323 6502 3623 41997 54997 5266 6947 5464 37733 3785 5444 8784 4299 5956 4223 3300
37926,48516 2395 46578 48774 2599 48394 904 7361 44195 908 2918 3949 1206 923 33166 6016 44191 4878 1252 48385
11159,1219 923 1252 904 903 30749 509 2019 8464 39183 1094 48780 3386 5945 2115 1220 4963 4881 3198 300
37991,6333 1961 3114 1653 1682 1101 1784 8360 1396 1625 1127 3897 553 3471 2353 2406 1079 2791 3481 4973
38016,44191 32587 6874 8636 6377 7438 4963 33493 48780 6333 5349 8360 45722 5445 4886 48394 2329 48774 7361 40815
32626,2324 36 594 3481 1172 58 3160 2289 3911 3105 4027 1959 2150 1096 348 3108 475 1231 3948 3006
32250,8636 745 6333 2355 4973 1223 720 5218 7147 6874 45722 2918 44191 6711 6365 6942 7438 2761 7143 5991
38098,3897 4878 4963 2692 1206 7153 1208 1060 1784 2324 1517 1288 6377 6016 4022 3948 32587 1625 5349 2706
38175,5618 4973 6539 1148 6874 4886 8961 6377 745 1274 5349 7361 2115 4878 912 2987 5445 3114 1748 353
801,"I n t 6 4 I n d e x ( [   9 1 6 ,   1 3 8 7 ,   1 1 0 1 ,       5 0 ,   2 1 1 8 ,   2 1 6 0 ,     7 7 8 ,   3 1 4 7 ,   3 2 1 0 ,   2 9 1 5 ,     5 8 7 , 
                         1 7 8 4 ,   1 2 7 1 ,     9 2 0 ,     3 5 7 ,   2 0 0 5 ,     4 8 0 ,   2 2 0 6 ,   1 1 2 0 ,   2 1 7 4 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
38092,1148 3471 745 6874 7438 32587 2012 3408 474 11 1674 1223 1748 1206 3052 5618 300 5669 1376 8874
38299,594 1653 2657 920 1396 5445 1917 596 1269 2115 17 2 2617 2018 2987 1748 2355 1278 6539 2193
27706,7153 32587 2692 1208 3160 1517 2502 1748 1584 4848 4262 3751 3897 741 750 1997 2115 6539 4022 1673
38315,1028 1035 1284 953 1207 1407 951 969 955 3897 1945 916 1254 1256 551 7361 2366 2018 1982 750
34185,2918 1961 2797 1247 1394 2599 2248 2291 2692 4995 1288 1500 4014 1285 1639 2174 3160 1206 3418 11
38351,2700 2324 6016 2161 1653 1282 2140 1208 1884 2078 3160 5445 1215 3897 1032 1220 2139 4308 1394 1391
24454,6539 7153 4022 5418 8636 5445 1219 7361 1784 2797 2081 8665 1246 1968 594 33166 3897 5218 6942 2987
38481,7438 5418 8665 49272 48516 1485 2329 4878 7361 5989 4896 1220 2355 54286 1682 5459 4027 45499 48780 551
10311,3114 1610 3751 720 3175 2987 2916 1079 353 1275 1127 1080 1396 474 1500 1220 1641 3000 1374 1274
38519,2329 1206 4011 32587 7361 1222 6874 33794 7438 1208 2542 48780 46578 48774 49272 778 44195 51662 54286 912
17504,59315 45722 44665 1207 6620 2019 1288 6942 6502 3160 53996 745 4848 2791 1201 1148 6947 2599 1242 3006
4508,48780 51662 8874 54286 4011 44195 7254 1079 5618 5445 49530 5418 5989 1339 8665 1090 47610 8622 35836 36529
38544,33794 49272 32587 44191 46578 7361 48394 54286 55820 48774 7438 6874 2329 56367 33166 8961 44195 48385 51255 59315
3552,1466 2712 5989 2692 4011 2890 4246 2336 1222 5464 2706 2291 3101 4973 5995 4776 1225 1219 1127 1266
10713,1222 1206 778 7361 1246 1233 903 6377 8961 1262 5445 2692 913 1263 2011 2542 2916 3147 3527 1732
26853,48516 5995 4034 5902 8784 2324 4979 30749 2692 1101 48774 44195 48780 4011 1380 6377 40819 1961 33794 508
38760,7153 6874 6377 7438 4963 4995 4878 8961 1206 5349 6016 2692 2329 4979 4027 778 3949 8360 5418 32587
21757,7153 6333 4963 5816 4896 7143 8368 8961 6874 6537 6378 6373 8665 442 2273 1573 2000 1552 5989 2006
38840,4886 8368 33493 7438 5816 2355 32587 44191 40815 3147 4973 1917 5218 2918 2115 48516 8644 7147 1961 2329
38876,4886 3114 6377 6333 5445 4963 5816 5378 8360 6874 8368 3175 2761 5218 4973 1610 594 4027 741 33794
17600,4973 1641 5669 1204 8961 2289 1175 908 2300 306 1228 1960 2020 2150 4979 2973 904 8360 903 551
39014,1517 5378 1485 1784 2268 2058 2542 16 3977 4886 786 6537 368 5459 32587 8636 4896 6377 1729 1954
39015,6539 5418 7361 4995 48516 1206 4886 6333 8961 8665 4034 49272 2115 1653 2011 33493 2012 5378 1258 4027
39116,1208 1222 6874 3949 7438 2692 6016 32587 1732 6711 1080 5618 2502 3160 5669 4034 4848 2019 1201 912
20168,1259 1968 2194 1370 1080 1732 62 33493 3175 3421 2 2324 2291 19 1262 2329 1201 2692 2947 910
39246,4011 2542 7143 8636 778 5679 1584 145 6502 2700 5010 5618 3175 2001 2294 2058 44191 3000 4369 1997
26114,4995 48516 2502 8665 1961 3147 7147 8874 3000 7143 1206 3949 2918 3114 3052 54286 34405 6502 46578 1222
39284,1080 2692 1234 2395 912 2791 7153 2987 2918 1641 908 1220 904 923 7361 2289 1307 1199 1247 551
39304,5349 2502 2692 2019 1207 1219 4995 1080 3175 1212 1682 1284 1610 1225 7147 720 2115 1234 2186 969
39374,1784 44191 3052 5218 3948 2706 1732 2291 3114 3147 4308 40815 48516 3408 45722 4014 33166 8874 6807 2355
39406,4886 8961 6539 1246 3114 4246 4963 1225 8360 4027 5989 5669 1968 5445 4034 2355 5995 5377 4308 6874
39417,6874 7438 44191 1148 2329 3081 2355 33493 5418 745 3751 1080 48394 48516 8644 7254 8665 7143 5378 48774
39418,8961 6377 8636 44191 17 8360 8665 3114 6874 46578 8368 7438 2918 2502 5989 1148 6333 908 40815 48780
15766,1954 1219 778 2115 2174 508 474 2003 3499 1732 1288 1610 1370 1302 36 2804 3868 3210 1304 1347
39506,32587 48516 2329 1732 2706 49272 46578 2012 48394 48780 3052 58559 33166 6016 6711 8874 51255 3948 1220 2712
39526,1517 4963 4027 6711 1080 4979 1206 3052 912 3114 2395 8360 4995 5669 1485 551 8784 5418 4896 2174
39559,2355 3751 904 4973 908 1199 1206 1220 720 1374 7361 2918 33794 910 3000 5445 1584 1387 2019 2761
9532,49272 48516 48780 48774 59315 34405 44665 48385 55820 3114 3081 46578 56367 5459 36529 44195 44199 4995 34162 7458
39636,2502 923 1207 1673 4011 953 594 2268 333 1225 1035 30707 1387 5418 16 337 3114 4246 2580 4447
39761,1201 1220 44191 4979 2791 5989 3421 3275 3160 4776 33166 3527 6502 2890 2712 2353 5010 46578 2395 5445
39876,48780 48385 51662 54503 51255 5989 8961 2700 8874 1206 44665 7147 1208 47610 4022 36529 16 2542 8636 4034
40032,33794 48516 8665 33493 5445 58559 7143 40815 8368 7361 59315 4011 4878 44665 5378 51255 46578 6378 33166 48385
40082,6377 8961 4886 8368 33794 8360 5816 5418 4896 8665 4995 40815 1207 33493 5989 4963 5445 3114 7361 7143
32925,2324 2599 8961 2395 1394 1244 6377 8784 1080 33794 1183 1199 3481 49272 1094 48516 33166 509 910 30707
3892,1500 1259 5902 1220 1625 1396 4262 6016 2064 3671 5418 1307 1225 3471 33166 2391 3362 246 101 923
40392,1610 1250 1276 2194 6377 912 2529 2918 1090 2944 1242 904 1233 3147 5445 2268 1222 953 1263 1203
40492,8961 4963 8665 3114 7361 5445 54286 8644 48394 6934 7147 6378 48774 56367 8874 34162 7254 59315 4973 51255
40507,2329 6874 7438 4011 3949 4973 1732 2542 33794 2502 1748 1222 6016 5618 3052 6502 1208 6711 3000 1682
40555,44191 49272 48516 32587 54286 5418 48774 7153 45722 8665 48394 8636 55820 51255 56367 8644 6539 44665 45499 5349
4412,58559 46578 4011 4878 51255 8874 8636 44199 49530 1682 2542 45499 5349 6333 50872 38061 3147 4262 41997 7147
40633,2115 2000 1101 1676 3175 2353 750 2797 1682 3114 2406 3897 1954 1222 1259 3147 1552 1876 1968 1408
40648,6377 1219 3481 6218 6863 1088 1333 4034 4641 3967 708 2395 4022 48 261 1485 8376 1271 4018 1968
37120,58559 2542 46578 56367 3949 48385 47610 8644 5903 4776 5010 6016 55765 45499 54503 46976 35836 41569 53996 50872
40741,1206 1080 7438 44191 2706 33794 1258 48394 3147 2115 1961 48780 2502 6365 6539 46578 55820 1079 1220 33493
19401,2329 2115 6333 1653 46578 55820 48385 44195 44665 1645 1222 2706 45499 2194 4262 47610 59315 350 1729 2167
40820,6539 2000 2916 3527 4886 2012 1517 2001 3623 7143 5989 1722 6377 5010 1356 8360 8665 353 1682 1222
40831,6874 6539 32587 7438 44191 8961 4963 4011 5349 6333 8665 8360 48780 4886 6934 45722 48774 5378 2542 59315
40857,246 2186 1148 1234 969 4027 1584 2797 1084 337 920 1172 745 1242 1217 1394 7361 529 497 162
